Price,Quantity,Type
87364.00000000,0.07492000,Ask
87364.01000000,0.00259000,Ask
87364.02000000,0.00343000,Ask
87364.08000000,0.00006000,Ask
87364.39000000,0.02271000,Ask
87364.76000000,0.32550000,Ask
87364.85000000,0.00415000,Ask
87365.04000000,0.00012000,Ask
87365.14000000,0.12730000,Ask
87365.25000000,0.00300000,Ask
87365.60000000,0.04580000,Ask
87365.69000000,0.02861000,Ask
87365.75000000,0.00009000,Ask
87366.00000000,0.07060000,Ask
87366.10000000,0.01144000,Ask
87367.00000000,0.04580000,Ask
87368.00000000,0.00200000,Ask
87368.24000000,0.01719000,Ask
87368.34000000,0.00006000,Ask
87368.54000000,0.03600000,Ask
87368.65000000,0.00575000,Ask
87368.81000000,0.00012000,Ask
87369.06000000,0.18892000,Ask
87369.42000000,0.03600000,Ask
87369.99000000,0.14453000,Ask
87370.00000000,0.07060000,Ask
87370.04000000,0.02281000,Ask
87370.20000000,0.00859000,Ask
87370.29000000,0.03600000,Ask
87370.37000000,0.00007000,Ask
87370.38000000,0.03600000,Ask
87370.48000000,0.00057000,Ask
87370.50000000,0.04580000,Ask
87370.86000000,0.01500000,Ask
87371.12000000,0.01500000,Ask
87371.85000000,0.10931000,Ask
87372.00000000,0.11840000,Ask
87372.60000000,0.00006000,Ask
87372.75000000,0.00300000,Ask
87373.00000000,0.00457000,Ask
87373.17000000,0.00012000,Ask
87374.00000000,0.11640000,Ask
87374.16000000,0.76114000,Ask
87374.17000000,0.82402000,Ask
87374.46000000,0.00009000,Ask
87375.32000000,0.00150000,Ask
87375.50000000,0.03435000,Ask
87376.00000000,0.00200000,Ask
87376.04000000,0.00012000,Ask
87376.32000000,0.82400000,Ask
87376.72000000,0.68660000,Ask
87376.73000000,0.42058000,Ask
87376.86000000,0.00006000,Ask
87376.90000000,0.00500000,Ask
87377.50000000,0.04580000,Ask
87378.15000000,0.00012000,Ask
87378.38000000,0.97182000,Ask
87378.40000000,0.04580000,Ask
87379.14000000,0.00012000,Ask
